epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,51.8456,0.61537,0.58607,1.35145,0.91046,1,0.98939,0.85678,0.65475,0.51489,1.28873,0.00118697,0.00118697,0.00118697
83,52.4031,0.63949,0.52226,1.29912,0.97456,1,0.995,0.8768,0.62185,0.47363,1.26259,0.00119622,0.00119622,0.00119622
84,52.9306,0.61474,0.56947,1.25023,0.97456,1,0.995,0.8768,0.62185,0.47363,1.26259,0.00120533,0.00120533,0.00120533
85,53.486,0.56014,0.53129,1.22871,0.99638,1,0.995,0.85462,0.68952,0.4706,1.31282,0.0012143,0.0012143,0.0012143
86,54.0329,0.63412,0.51649,1.24943,0.99638,1,0.995,0.85462,0.68952,0.4706,1.31282,0.00122315,0.00122315,0.00122315
87,54.609,0.66452,0.63912,1.3873,0.99634,1,0.995,0.83288,0.74562,0.4799,1.28862,0.00123186,0.00123186,0.00123186
88,55.1612,0.67078,0.54818,1.18469,0.99634,1,0.995,0.83288,0.74562,0.4799,1.28862,0.00124045,0.00124045,0.00124045
89,55.7376,0.63374,0.56673,1.25595,0.99643,1,0.995,0.82362,0.73384,0.49586,1.24915,0.0012489,0.0012489,0.0012489
90,56.2803,0.61534,0.55982,1.28117,0.99643,1,0.995,0.82362,0.73384,0.49586,1.24915,0.00125721,0.00125721,0.00125721
91,56.8411,0.59088,0.53801,1.18504,0.99765,1,0.995,0.85414,0.6657,0.49504,1.28163,0.0012654,0.0012654,0.0012654
92,57.3831,0.60225,0.55872,1.3192,0.99765,1,0.995,0.85414,0.6657,0.49504,1.28163,0.00127345,0.00127345,0.00127345
93,57.9471,0.6497,0.61442,1.30454,0.99757,1,0.995,0.8443,0.68826,0.5215,1.33102,0.00128138,0.00128138,0.00128138
94,58.4898,0.64309,0.60135,1.38246,0.99757,1,0.995,0.8443,0.68826,0.5215,1.33102,0.00128917,0.00128917,0.00128917
95,59.0542,0.55832,0.51908,1.25368,0.95637,0.99661,0.99326,0.83528,0.70957,0.55933,1.37589,0.00129682,0.00129682,0.00129682
96,59.5912,0.64584,0.5509,1.19688,0.95637,0.99661,0.99326,0.83528,0.70957,0.55933,1.37589,0.00130435,0.00130435,0.00130435
97,60.1676,0.70375,0.56374,1.28097,0.99451,1,0.995,0.84147,0.66418,0.5382,1.32299,0.00131174,0.00131174,0.00131174
98,60.7888,0.58362,0.51131,1.23897,0.99451,1,0.995,0.84147,0.66418,0.5382,1.32299,0.00131901,0.00131901,0.00131901
99,61.3512,0.66854,0.57632,1.32839,0.99494,1,0.995,0.83603,0.65286,0.49486,1.26296,0.00132614,0.00132614,0.00132614
100,61.8955,0.57817,0.52337,1.20852,0.99494,1,0.995,0.83603,0.65286,0.49486,1.26296,0.00133313,0.00133313,0.00133313
101,62.4525,0.64761,0.49171,1.20493,0.99643,1,0.995,0.84297,0.61433,0.4357,1.21241,0.00134,0.00134,0.00134
102,62.989,0.61878,0.55338,1.34643,0.99643,1,0.995,0.84297,0.61433,0.4357,1.21241,0.0013334,0.0013334,0.0013334
103,63.5539,0.60723,0.53771,1.25432,0.99676,1,0.995,0.83021,0.64,0.41769,1.22181,0.0013268,0.0013268,0.0013268
104,64.1077,0.76667,0.69126,1.44183,0.99676,1,0.995,0.83021,0.64,0.41769,1.22181,0.0013202,0.0013202,0.0013202
105,64.7135,0.59522,0.53266,1.27088,0.99636,1,0.995,0.82988,0.721,0.44515,1.32989,0.0013136,0.0013136,0.0013136
106,65.2523,0.59327,0.49887,1.23708,0.99636,1,0.995,0.82988,0.721,0.44515,1.32989,0.001307,0.001307,0.001307
107,65.8137,0.77792,0.65106,1.3885,0.99625,1,0.995,0.8285,0.75488,0.45048,1.3858,0.0013004,0.0013004,0.0013004
108,66.3489,0.61855,0.56994,1.22051,0.99625,1,0.995,0.8285,0.75488,0.45048,1.3858,0.0012938,0.0012938,0.0012938
109,66.9396,0.61043,0.55027,1.26265,0.99643,1,0.995,0.84055,0.71011,0.43357,1.34466,0.0012872,0.0012872,0.0012872
110,67.5312,0.51962,0.48973,1.19946,0.99643,1,0.995,0.84055,0.71011,0.43357,1.34466,0.0012806,0.0012806,0.0012806
111,68.1137,0.58477,0.53976,1.28623,0.99625,1,0.995,0.88375,0.64016,0.41382,1.30203,0.001274,0.001274,0.001274
112,68.6751,0.58124,0.5628,1.3533,0.99625,1,0.995,0.88375,0.64016,0.41382,1.30203,0.0012674,0.0012674,0.0012674
113,69.2809,0.68216,0.56735,1.42051,0.99576,1,0.995,0.84519,0.64645,0.42066,1.34399,0.0012608,0.0012608,0.0012608
114,69.8398,0.57226,0.51036,1.21696,0.99576,1,0.995,0.84519,0.64645,0.42066,1.34399,0.0012542,0.0012542,0.0012542
115,70.4031,0.62365,0.51275,1.2756,0.99649,1,0.995,0.83866,0.70641,0.42099,1.44247,0.0012476,0.0012476,0.0012476
116,70.9505,0.57827,0.55709,1.2538,0.99649,1,0.995,0.83866,0.70641,0.42099,1.44247,0.001241,0.001241,0.001241
117,71.5562,0.63634,0.52637,1.22168,0.99689,1,0.995,0.83229,0.73915,0.40232,1.47958,0.0012344,0.0012344,0.0012344
